region,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4690534,4151078,4386290,4584996,4965613,4138229,2920244,2503981,2445877,2675448,2943809,2869509,2877322,2633646,2603262,2538163,2560228,2309300,2162163,2181945,2302760,2771433,2893167,2977763,3559470,4195068,4917140,6058091,5958200,5936536,5959979,6146251
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,500000,1734921,3879984,4488214,4712735,4417651,4653193,5094283,5511740,5622982,5643989,6339095,6306301,4552153,3374575,2731166,2679132,2674234,2676675,2667118,2601690,3587327,3809763,2510294,2136039,2414460,2166139,2107510,3057655,2833116,2887114,3054699,2664423,2586132,2556483,2596259,2666294,2501447,2624265,2681267,2727556,2594827,2712858
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056416,1018249,1039785,1741076,1762691,1486476,1434430,1037381,968077,942682,825227,595030,647815,678624,618362,557930,479340,438512,465615,483889,507349,600135,641877,724624,919751,1038377,1090726,1155918,1283440,1354330,1457853,1675914
Angola,AGO,150000,150000,170000,175000,200000,220000,303800,356200,381360,408190,414120,419690,421500,426550,497390,501830,499190,529830,646110,652980,449030,457060,465890,298110,357821,317392,355412,391733,407566,408692,407760,381638,300494,323822,282570,246653,249686,267687,319420,353472,433756,470616,435415,329573,228842,215811,206482,186137,171374,141006,134851,128657,19253,10274,9468,11855,8388,8292,8243,8176,8196,11403
Albania,ALB,,,,,100,4860,4860,4260,4120,4290,4310,390,2300,2090,380,380,,2000,1980,1610,1681,1680,1645,1610,1576,1587,90,129,358,367,1822,3542,4355,4747,5021,5804,5784,5381,5353,6286,6801,7627,10758,10382,10474,12718,14079,15335,15007,15707,14771,13552,12569,10104,10156,10404,11060,12168,13512,15027,15523,19847
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,,10,10,10,5,5,5,5,6,5,5,5,,,,,,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2212489,2408680,2614889,1906568,2001744,2005023,2035525,1864272,1806064,1816901,1672624,1872875,1895880,1831003,1879604,1797671,3023518,3722655,3328079,3029121,3034184,3205236,3358916,4804187,6199852,7077036,7703238,8568734,8933132,8827545,8876924,9053222
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,17,18,29,16,69,31,260,305,255,411,418,484,580,84,84,91,103,137,169,155,181,160
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,38,38,1019,42,42,51,52,47,46,103,332,196,111,97,467,330,218,157,140,585,608,660,764,777,789,850,888,1164,1039,604,553,506,435,381,311,186,120,121,112,99,99,124
Armenia,ARM,,,,,170,,,,200,200,200,4070,3500,,,,,440,420,700,333,333,733,333,333,333,528,208,300,,,,195000,200116,201837,201439,203232,203690,193147,193228,5787,7206,13244,13158,13409,13965,14913,15435,16333,18004,17553,16491,15937,11995,11839,11211,10707,10786,11040,10962,10334,12255
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
