qn1d,qn1f,qn1c,qn1h,qn2b,qn4b,qn4c,qn4e,qn1jyear,ui_lpr,ui_work
30,2,4,3,5,2,2,2,2018,2,1
36,1,4,97,1,2,2,1,2015,1,1
63,2,1,97,5,4,2,2,2017,1,3
30,2,4,97,5,3,2,2,2017,1,1
65,1,1,97,4,4,1,2,2017,1,3
33,1,2,97,5,4,2,1,2017,1,3
45,2,1,6,1,4,1,1,2017,1,3
20,2,4,6,4,1,1,1,2017,1,3
50,1,1,6,6,2,1,2,2017,1,1
19,1,4,6,2,1,1,6,2017,1,3
57,1,1,9,6,2,2,2,2016,3,1
25,1,4,10,5,1,2,6,2014,1,1
55,1,1,10,5,2,2,1,2014,1,2
20,1,4,10,2,1,2,6,2014,1,1
30,1,1,22,5,1,1,1,2015,1,1
29,2,1,22,5,2,2,1,2015,1,3
28,1,4,96,1,3,1,1,2018,1,2
23,1,4,6,2,2,2,1,2016,1,1
71,1,1,9,6,2,2,1,2016,3,3
64,2,1,9,6,3,1,2,2016,2,3
37,2,4,10,2,2,1,1,2016,1,1
45,1,1,6,2,3,1,2,2018,2,1
17,1,4,6,2,3,1,6,2018,2,3
19,2,4,6,2,3,1,6,2018,2,3
38,2,1,6,1,4,1,2,2018,2,2
22,1,4,6,1,3,1,2,2017,1,1
30,1,4,97,4,4,1,2,2016,1,1
29,2,1,97,2,4,1,2,2016,1,1
32,1,1,97,5,4,1,2,2016,1,1
45,2,3,10,5,2,1,1,2015,1,2
35,1,1,9,6,2,2,1,2016,2,1
45,2,1,5,6,3,1,1,2015,1,1
46,1,1,5,5,3,1,1,2015,1,1
57,2,1,22,4,3,2,1,2014,1,3
64,1,1,22,4,3,1,1,2014,1,1
57,2,1,22,5,3,1,2,2018,1,1
26,1,4,22,6,2,2,1,2018,1,1
31,1,1,22,6,2,2,1,2018,1,2
29,1,1,22,5,2,1,1,2016,1,2
25,2,4,6,1,3,1,1,2017,1,2
30,2,4,6,1,4,1,1,2017,1,3
22,1,4,97,5,2,1,2,2015,1,2
52,1,4,5,5,4,1,1,2014,1,1
45,2,1,97,1,4,1,1,2017,1,1
55,1,1,96,1,4,1,1,2017,1,1
17,1,4,96,2,3,2,6,2017,1,3
40,1,1,96,3,2,2,1,2017,1,2
33,2,1,97,5,3,1,1,2017,1,1
33,2,1,22,6,1,1,1,2017,1,1
36,1,1,22,4,2,1,1,2017,1,1
18,2,4,97,1,2,1,1,2016,1,3
18,2,2,97,1,3,1,2,2016,1,1
30,2,4,97,6,2,2,2,2015,2,1
37,2,4,6,5,2,1,2,2014,1,1
27,1,4,9,6,1,2,2,2016,2,1
38,2,1,10,6,1,2,1,2017,1,1
66,1,1,10,6,1,1,1,2018,1,3
68,2,1,10,6,2,2,1,2014,1,3
27,1,1,97,5,3,2,1,2017,2,1
21,2,1,97,2,3,1,2,2016,1,3
40,1,1,22,5,3,1,1,2017,2,1
38,2,7,22,4,2,1,1,2017,2,1
